;Year;Month;Day;Name;CountTrades(K);OpenPrice;LowPrice;HighPrice;ClosePrice;WAPrice;VOLUMERUB
9;Год: 2021;Месяц: 3;День: 2;Юань-российский рубль__CETS;0.646;11,4829;11,3634;11,53;11,3945;11,4458;1685085092.3
5;Год: 2021;Месяц: 2;День: 26;Доллар США-российский рубль__CETS;80.974;74,6375;74,2475;74,925;74,63;74,5973;371309360735.0
9;Год: 2021;Месяц: 3;День: 1;Доллар США-российский рубль__CETS;57.523;74,25;73,9;74,4975;74,165;74,1251;262691416562.5
13;Год: 2021;Месяц: 3;День: 2;Доллар США-российский рубль__CETS;77.204;74,33;73,5975;74,7275;73,81;74,1281;310580906357.5
5;Год: 2021;Месяц: 2;День: 26;Евро-российский рубль__CETS;8.527;90,725;90,0525;90,8275;90,07;90,3995;33154102622.5
9;Год: 2021;Месяц: 3;День: 1;Евро-российский рубль__CETS;7.958;90,7375;89,0;90,7375;89,315;89,3487;29987301927.5
13;Год: 2021;Месяц: 3;День: 2;Евро-российский рубль__CETS;10.865;89,4875;88,505;89,72;89,245;89,1085;41886183717.5
3;Год: 2021;Месяц: 3;День: 3;Юань-российский рубль__CETS;0.394;11,3986;11,3626;11,4399;11,435;11,3908;618988194.4
6;Год: 2021;Месяц: 3;День: 4;Юань-российский рубль__CETS;0.42;11,43;11,331;11,55;11,508;11,3932;607517011.7
9;Год: 2021;Месяц: 3;День: 5;Юань-российский рубль__CETS;0.857;11,5015;11,3473;11,509;11,387;11,4836;5790417304.0
5;Год: 2021;Месяц: 3;День: 3;Доллар США-российский рубль__CETS;57.741;73,815;73,4;74,0625;73,97;73,7642;216832269557.5
9;Год: 2021;Месяц: 3;День: 4;Доллар США-российский рубль__CETS;87.707;73,97;73,35;74,98;74,7;73,8582;309214827820.0
13;Год: 2021;Месяц: 3;День: 5;Доллар США-российский рубль__CETS;74.627;74,505;74,105;74,785;74,2025;74,4475;336291229960.0
5;Год: 2021;Месяц: 3;День: 3;Евро-российский рубль__CETS;5.816;89,1625;88,765;89,375;89,27;89,0584;19693491772.5
9;Год: 2021;Месяц: 3;День: 4;Евро-российский рубль__CETS;11.033;89,09;88,3725;89,7325;89,445;88,7935;32378287687.5
13;Год: 2021;Месяц: 3;День: 5;Евро-российский рубль__CETS;8.914;89,255;88,4075;89,445;88,44;88,8092;29968753130.0
0;Год: 2021;Месяц: 3;День: 9;Юань-российский рубль__CETS;0.652;11,3011;11,3011;11,5899;11,348;11,3622;2497565271.1
3;Год: 2021;Месяц: 3;День: 10;Юань-российский рубль__CETS;0.345;11,3581;11,3156;11,3762;11,338;11,3583;691993427.1
6;Год: 2021;Месяц: 3;День: 11;Юань-российский рубль__CETS;0.395;11,32;11,29;11,3891;11,323;11,3421;934929256.3
9;Год: 2021;Месяц: 3;День: 12;Юань-российский рубль__CETS;0.355;11,3085;11,2769;11,3399;11,2904;11,3032;1375225585.7
1;Год: 2021;Месяц: 3;День: 9;Доллар США-российский рубль__CETS;53.53;74,5;73,7775;74,535;73,915;74,0453;196007520482.5
5;Год: 2021;Месяц: 3;День: 10;Доллар США-российский рубль__CETS;53.776;73,97;73,6;74,14;73,6025;73,8656;192923278852.5
9;Год: 2021;Месяц: 3;День: 11;Доллар США-российский рубль__CETS;73.16;73,6;73,18;73,87;73,3;73,5393;237796422402.5
13;Год: 2021;Месяц: 3;День: 12;Доллар США-российский рубль__CETS;61.685;73,3525;73,23;73,7375;73,33;73,5005;241108064857.5
1;Год: 2021;Месяц: 3;День: 9;Евро-российский рубль__CETS;9.247;88,5075;87,81;88,79;88,0;88,0242;23742152902.5
5;Год: 2021;Месяц: 3;День: 10;Евро-российский рубль__CETS;7.881;88,0;87,59;88,1275;87,75;87,8989;23629335862.5
9;Год: 2021;Месяц: 3;День: 11;Евро-российский рубль__CETS;8.156;87,95;87,63;88,38;87,895;87,9415;28742703777.5
13;Год: 2021;Месяц: 3;День: 12;Евро-российский рубль__CETS;7.405;88,1;87,48;88,1;87,7;87,6958;23413386540.0
3;Год: 2021;Месяц: 3;День: 15;Юань-российский рубль__CETS;0.403;11,268;11,2046;11,2824;11,22;11,246;512008289.3
6;Год: 2021;Месяц: 3;День: 16;Юань-российский рубль__CETS;0.412;11,2244;11,1667;11,2372;11,2125;11,2078;876608756.7
9;Год: 2021;Месяц: 3;День: 17;Юань-российский рубль__CETS;0.313;11,2299;11,2272;11,3936;11,364;11,2931;536921156.0
5;Год: 2021;Месяц: 3;День: 15;Доллар США-российский рубль__CETS;69.871;73,4;72,805;73,4775;72,805;73,1195;238972778807.5
